Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,16.120001,28.389999,16.120001,25.379999,25.379999,1100291100
2021-10-01,25.510000,41.599998,22.110001,36.990002,36.990002,1086373700
2021-11-01,39.994999,57.750000,33.020000,52.980000,52.980000,2155062400
2021-12-01,54.080002,56.240002,35.529999,38.049999,38.049999,1345382400
2022-01-01,38.549999,47.590000,25.632999,29.389999,29.389999,930070600
2022-02-01,30.525000,30.850000,21.770000,28.980000,28.980000,549191900
2022-03-01,24.485001,28.135000,20.490000,25.400000,25.400000,589609900
2022-04-01,25.389999,26.160000,17.500000,18.080000,18.080000,431453900
2022-05-01,18.080000,20.725000,13.250000,20.180000,20.180000,551806700
2022-06-01,20.299999,20.545000,15.300000,17.160000,17.160000,381761800
2022-07-01,17.055000,21.780001,16.350000,18.250000,18.250000,302651800
2022-08-01,18.209999,20.620001,16.690001,16.750000,16.750000,287948600
2022-08-19,17.980000,17.990000,16.690001,16.750000,16.750000,26005807
