Mileage (km),EV total emissions (t CO2 eq.),ICEV total emissions (t CO2 eq.)
0, 0.00001426551593323217 , 0.000005059961315280464 
10000, 0.000014946042249021644 , 0.000006783561315280464 
20000, 0.000015626568564811117 , 0.000008507161315280463 
30000, 0.00001630709488060059 , 0.000010230761315280464 
40000, 0.00001698762119639006 , 0.000011954361315280464 
50000, 0.00001766814751217954 , 0.000013677961315280462 
60000, 0.000018348673827969013 , 0.000015401561315280464 
70000, 0.000019029200143758483 , 0.00001712516131528047 
80000, 0.000019709726459547957 , 0.000018848761315280467 
90000, 0.00002039025277533743 , 0.00002057236131528047 
100000, 0.000021070779091126905 , 0.000022295961315280464 
110000, 0.00002175130540691638 , 0.000024019561315280462 
120000, 0.00002243183172270585 , 0.000025743161315280463 
130000, 0.000023112358038495324 , 0.00002746676131528047 
140000, 0.0000237928843542848 , 0.000029190361315280467 
150000, 0.000024473410670074272 , 0.000030913961315280465 
160000, 0.000025153936985863743 , 0.00003263756131528046 
170000, 0.000025834463301653224 , 0.00003436116131528047 
180000, 0.000026514989617442698 , 0.000036084761315280466 
190000, 0.000027195515933232165 , 0.000037808361315280464 
200000, 0.00002787604224902164 , 0.00003953196131528047 
210000, 0.00002855656856481112 , 0.00004125556131528047 
220000, 0.00002923709488060059 , 0.000042979161315280466 
230000, 0.00002991762119639006 , 0.00004470276131528047 
240000, 0.000030598147512179535 , 0.00004642636131528047 
250000, 0.00003127867382796901 , 0.00004814996131528047 
260000, 0.00003195920014375848 , 0.00004987356131528047 
270000, 0.00003263972645954796 , 0.000051597161315280464 
280000, 0.00003332025277533743 , 0.00005332076131528046 
290000, 0.0000340007790911269 , 0.00005504436131528047 
300000, 0.00003468130540691638, 0.000056767961315280465
